id,en,zh-CN,zh-TW
add-to-comparison,Add To Comparison,添加比较,添加比較
aio,AIO,一体式水冷,一體式水冷
air-cooler,Air CPU Cooler,风冷,風冷
airflow,Airflow,风量,風量
benchmark,Benchmark,天梯榜,天梯榜
brand,Brand,品牌,品牌
brand-amd,AMD,AMD,AMD
brand-asus,ASUS,华硕,華碩
brand-colorful,Colorful,七彩虹,七彩虹
brand-corsair,Corsair,海盜船,海盜船
brand-gskill,G.SKILL,芝奇,芝奇
brand-intel,Intel,英特尔,英特爾
brand-kingston,Kingston,金士顿,金士頓
brand-lian-li,LIAN LI,联力,聯力
brand-msi,MSI,微星,微星
brand-nvidia,NVIDIA,英伟达,英偉達
brand-nzxt,NZXT,NZXT,NZXT
brand-samsung,SAMSUNG,三星,三星
brand-sapphire,SAPPHIRE,蓝宝石,藍寶石
brand-seasonic,Seasonic,海韵,海韻
brand-western-digital,Western Digital,西部数据,西部數據
capacity,Capacity,容量,容量
chipset,Chipset,芯片组,晶片組
color,Color,颜色,顏色
compare,Compare,比较,比較
computer-case,Computer Case,机箱,機箱
cpu,CPU,中央处理器,中央處理器
cpu-cooler,CPU Cooler,处理器散热,CPU散熱器
cpu-cores,Cores,核心,核心
cpu-multi-score,Multi-Core (Cinebench R23),Multi-Core (Cinebench R23),Multi-Core (Cinebench R23)
cpu-score,CPU Benchmark,CPU Benchmark,CPU Benchmark
cpu-single-score,Single-Core (Cinebench R23),Single-Core (Cinebench R23),Single-Core (Cinebench R23)
cpu-socket,CPU Socket,插槽,插槽
cuda-cores,CUDA Cores,CUDA 核心,CUDA 核心
database,PC Parts Comparisons,电脑配件比较,電腦配件比較
efficiency,Efficiency,效率,效率
fan-size,Fan Size,风扇尺寸,風扇尺寸
fan-speed,Fan Speed,风扇转速,風扇轉速
form-factor,Form Factor,規格尺寸,規格尺寸
gpu-length,Display Card Length,显卡长度,顯示卡長度
gpu-memory-interface,GPU Memory Interface,GPU 内存介面,GPU 記憶體介面
gpu-memory-size,GPU Memory Size,GPU 内存容量,GPU 記憶體容量
gpu-memory-type,GPU Memory Type,GPU 内存类型,GPU 記憶體類型
gpu-score,GPU Benchmark,GPU Benchmark,GPU Benchmark
graphic-card,Graphic Card,显卡,顯示卡
graphics-processing-unit,Graphics Processing Unit,图形处理单元,圖形處理單元
integrated-graphics,Integrated Graphics,集成显卡,整合顯示卡
interface,Interface,介面,介面
is-rgb,RGB,RGB,RGB
latency,Latency,延迟,延遲
length,Length,长度,長度
manufacturer,Manufacturer,制造商,製造商
max-gpu-length,Maximum GPU Length,最大 GPU 长度,最大 GPU 長度
max-psu-length,Maximum PSU Length,最大 PSU 长度,最大 PSU 長度
maximum-wattage-requirement,Maximum Wattage Requirement,最大瓦数要求,Maximum Wattage Requirement
memory-type,Memory Type,内存类型,記憶體類型
model,Model,型号,型號
modular-design,Modular Design,模块化设计,模組化設計
motherboard,Motherboard,主板,主機板
motherboard-compatibility,Motherboard Compatibility,主板兼容性,主機板相容性
multi-core,Multi-Core,多核,多核
name,Name,名称,名稱
no-suggestion,No sugguestion,没有建议,沒有建議
noise,Noise,噪音,噪音
overall-performance,Overall Performance,总体性能,整體性能
pc-builder,Build Your PC,Build Your PC,Build Your PC
